Year,MotherID,East,GroupSize,RelFemAlong,FIDAdFem,Observer,TestNumber,DifferenceDays,DataFile,YoungID,AvFIDJuv,Sex,AvPYMov,AgeCapture,JuvSurv
2019,125,8045,1,0,1,Carolina,9,3,AdFemFID,0,NA,0,NA,0,NA
2017,126,8089,3,SA,8,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,126,7919,2,0,9,Weliton,2,1,AdFemFID,0,NA,0,NA,0,NA
2017,126,7959,1,0,14,Weliton,3,30,AdFemFID,0,NA,0,NA,0,NA
2017,126,7965,2,SA,8,Weliton,4,53,AdFemFID,0,NA,0,NA,0,NA
2018,126,7919,1,0,7,Weliton,5,285,AdFemFID,0,NA,0,NA,0,NA
2018,126,7982,2,SA,8,Weliton,6,15,AdFemFID,0,NA,0,NA,0,NA
2019,126,8060,2,SA,5,Carolina,7,202,AdFemFID,0,NA,0,NA,0,NA
2019,126,8022,2,SA,5,Carolina,8,4,AdFemFID,0,NA,0,NA,0,NA
2017,137,7491,2,LPY,9,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,137,7262,1,LPY,7,Weliton,2,26,AdFemFID,0,NA,0,NA,0,NA
2017,137,7479,3,LPY,5,Weliton,3,2,AdFemFID,0,NA,0,NA,0,NA
2018,137,6948,1,0,8,Weliton,4,179,AdFemFID,0,NA,0,NA,0,NA
2017,151,7259,3,0,4,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,151,7577,2,0,6,Weliton,2,26,AdFemFID,0,NA,0,NA,0,NA
2017,151,7328,2,0,5,Weliton,3,2,AdFemFID,0,NA,0,NA,0,NA
2017,151,7386,2,0,5,Weliton,4,1,AdFemFID,0,NA,0,NA,0,NA
2017,151,7331,1,0,9,Weliton,5,51,AdFemFID,0,NA,0,NA,0,NA
2018,151,7535,2,0,5,Weliton,6,305,AdFemFID,0,NA,0,NA,0,NA
2018,151,7354,2,0,5,Weliton,7,27,AdFemFID,0,NA,0,NA,0,NA
2018,151,8311,1,LPY,6,Weliton,8,49,AdFemFID,0,NA,0,NA,0,NA
2019,151,7512,2,0,7,Carolina,9,120,AdFemFID,0,NA,0,NA,0,NA
2019,151,7343,1,0,10,Carolina,10,3,AdFemFID,0,NA,0,NA,0,NA
2017,159,7881,1,0,2,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,159,7711,2,0,1,Weliton,2,28,AdFemFID,0,NA,0,NA,0,NA
2017,159,7557,1,0,3,Weliton,3,1,AdFemFID,0,NA,0,NA,0,NA
2017,159,7676,1,0,1,Weliton,4,5,AdFemFID,0,NA,0,NA,0,NA
2018,159,7467,1,0,4,Weliton,5,177,AdFemFID,0,NA,0,NA,0,NA
2017,191,7720,1,LPY,5,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,191,7945,3,LPY,2,Weliton,2,6,AdFemFID,0,NA,0,NA,0,NA
2017,191,7719,2,SA,4,Weliton,3,67,AdFemFID,0,NA,0,NA,0,NA
2017,191,7609,1,LPY,4,Weliton,4,15,AdFemFID,0,NA,0,NA,0,NA
2018,191,7712,1,0,4,Weliton,5,92,AdFemFID,0,NA,0,NA,0,NA
2018,191,7939,1,0,1,Weliton,6,9,AdFemFID,0,NA,0,NA,0,NA
2018,191,8052,2,SA,3,Weliton,7,150,AdFemFID,0,NA,0,NA,0,NA
2018,191,8019,1,0,2,Weliton,8,12,AdFemFID,0,NA,0,NA,0,NA
2018,191,7886,1,0,3,Weliton,9,43,AdFemFID,0,NA,0,NA,0,NA
2019,191,7855,2,0,6,Carolina,10,162,AdFemFID,0,NA,0,NA,0,NA
2019,191,7349,1,0,3,Carolina,11,3,AdFemFID,0,NA,0,NA,0,NA
2017,193,7931,1,0,8,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,193,7978,2,0,6,Weliton,2,23,AdFemFID,0,NA,0,NA,0,NA
2017,193,7940,1,0,7,Weliton,3,14,AdFemFID,0,NA,0,NA,0,NA
2017,193,8008,2,0,4,Weliton,4,2,AdFemFID,0,NA,0,NA,0,NA
2018,193,7730,1,RegPY,7,Weliton,5,174,AdFemFID,0,NA,0,NA,0,NA
2018,193,7917,2,SA,7,Weliton,6,175,AdFemFID,0,NA,0,NA,0,NA
2018,193,7930,1,0,13,Weliton,7,22,AdFemFID,0,NA,0,NA,0,NA
2019,193,7900,2,0,8,Carolina,8,175,AdFemFID,0,NA,0,NA,0,NA
2019,193,7541,2,0,9,Carolina,9,2,AdFemFID,0,NA,0,NA,0,NA
2017,206,7730,2,LPY,12,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,206,7572,6,LPY,7,Weliton,2,3,AdFemFID,0,NA,0,NA,0,NA
2017,206,7641,1,LPY,15,Weliton,3,13,AdFemFID,0,NA,0,NA,0,NA
2018,206,7573,2,0,3,Weliton,4,193,AdFemFID,0,NA,0,NA,0,NA
2018,206,7690,1,0,5,Weliton,5,2,AdFemFID,0,NA,0,NA,0,NA
2018,206,7717,1,0,5,Weliton,6,171,AdFemFID,0,NA,0,NA,0,NA
2018,206,7679,1,0,7,Weliton,7,3,AdFemFID,0,NA,0,NA,0,NA
2019,206,7425,2,0,3,Carolina,8,175,AdFemFID,0,NA,0,NA,0,NA
2019,206,7429,1,0,5,Carolina,9,19,AdFemFID,0,NA,0,NA,0,NA
2019,206,7332,2,0,5,Carolina,10,1,AdFemFID,0,NA,0,NA,0,NA
2017,207,7312,3,0,10,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,207,7268,2,0,7,Weliton,2,23,AdFemFID,0,NA,0,NA,0,NA
2017,207,7215,4,0,5,Weliton,3,8,AdFemFID,0,NA,0,NA,0,NA
2017,217,7031,2,0,2,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,217,7059,1,0,1,Weliton,2,9,AdFemFID,0,NA,0,NA,0,NA
2017,224,7720,2,SA,5,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,224,7835,2,SA,7,Weliton,2,94,AdFemFID,0,NA,0,NA,0,NA
2018,224,7561,1,0,8,Weliton,3,105,AdFemFID,0,NA,0,NA,0,NA
2018,224,7699,1,0,6,Weliton,4,171,AdFemFID,0,NA,0,NA,0,NA
2018,224,7846,2,0,5,Weliton,5,33,AdFemFID,0,NA,0,NA,0,NA
2019,224,7802,1,0,9,Carolina,6,170,AdFemFID,0,NA,0,NA,0,NA
2017,242,7305,2,LPY,6,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,242,7499,1,LPY,3,Weliton,2,18,AdFemFID,0,NA,0,NA,0,NA
2017,242,7224,2,LPY,5,Weliton,3,16,AdFemFID,0,NA,0,NA,0,NA
2017,242,7463,1,LPY,5,Weliton,4,49,AdFemFID,0,NA,0,NA,0,NA
2018,242,7204,2,0,3,Weliton,5,130,AdFemFID,0,NA,0,NA,0,NA
2018,242,7070,1,0,2,Weliton,6,173,AdFemFID,0,NA,0,NA,0,NA
2018,242,7422,1,0,6,Weliton,7,18,AdFemFID,0,NA,0,NA,0,NA
2018,242,7484,1,0,9,Weliton,8,7,AdFemFID,0,NA,0,NA,0,NA
2019,242,7082,1,0,5,Carolina,9,183,AdFemFID,0,NA,0,NA,0,NA
2017,244,7211,4,0,7,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,244,7695,3,0,4,Weliton,2,111,AdFemFID,0,NA,0,NA,0,NA
2017,244,7607,3,0,1,Weliton,3,4,AdFemFID,0,NA,0,NA,0,NA
2018,244,7540,1,0,3,Weliton,4,95,AdFemFID,0,NA,0,NA,0,NA
2018,244,7403,2,0,2,Weliton,5,2,AdFemFID,0,NA,0,NA,0,NA
2018,244,7565,1,0,6,Weliton,6,154,AdFemFID,0,NA,0,NA,0,NA
2018,244,7427,1,0,2,Weliton,7,35,AdFemFID,0,NA,0,NA,0,NA
2018,244,7453,1,0,2,Weliton,8,10,AdFemFID,0,NA,0,NA,0,NA
2019,244,7707,2,0,4,Carolina,9,171,AdFemFID,0,NA,0,NA,0,NA
2019,244,7553,3,0,1,Carolina,10,2,AdFemFID,0,NA,0,NA,0,NA
2017,247,7555,2,0,10,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,247,7395,3,SA,8,Weliton,2,29,AdFemFID,0,NA,0,NA,0,NA
2017,249,7926,3,0,8,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,249,7960,3,0,10,Weliton,2,9,AdFemFID,0,NA,0,NA,0,NA
2017,249,7953,1,0,7,Weliton,3,44,AdFemFID,0,NA,0,NA,0,NA
2018,249,7916,1,RegPY,6,Weliton,4,135,AdFemFID,0,NA,0,NA,0,NA
2018,249,7639,1,0,12,Weliton,5,186,AdFemFID,0,NA,0,NA,0,NA
2018,249,7926,1,0,6,Weliton,6,3,AdFemFID,0,NA,0,NA,0,NA
2019,249,7992,3,0,12,Carolina,7,178,AdFemFID,0,NA,0,NA,0,NA
2017,258,7350,2,RegPY,4,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,258,7561,5,LPY,5,Weliton,2,14,AdFemFID,0,NA,0,NA,0,NA
2017,258,7292,4,LPY,8,Weliton,3,11,AdFemFID,0,NA,0,NA,0,NA
2017,258,7356,1,LPY,8,Weliton,4,7,AdFemFID,0,NA,0,NA,0,NA
2017,258,7537,3,LPY,5,Weliton,5,51,AdFemFID,0,NA,0,NA,0,NA
2018,258,7322,1,0,2,Weliton,6,126,AdFemFID,0,NA,0,NA,0,NA
2017,276,7974,1,0,11,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,276,7856,2,0,8,Weliton,2,14,AdFemFID,0,NA,0,NA,0,NA
2018,276,7894,1,0,10,Weliton,3,202,AdFemFID,0,NA,0,NA,0,NA
2018,276,7916,1,LPY,8,Weliton,4,170,AdFemFID,0,NA,0,NA,0,NA
2018,276,7930,1,LPY,6,Weliton,5,25,AdFemFID,0,NA,0,NA,0,NA
2018,276,7947,1,LPY,5,Weliton,6,44,AdFemFID,0,NA,0,NA,0,NA
2019,276,7976,3,0,7,Carolina,7,116,AdFemFID,0,NA,0,NA,0,NA
2019,276,7942,2,0,5,Carolina,8,22,AdFemFID,0,NA,0,NA,0,NA
2017,3,8229,5,LPY,13,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,3,8274,1,LPY,11,Weliton,2,21,AdFemFID,0,NA,0,NA,0,NA
2017,3,8216,1,LPY,11,Weliton,3,28,AdFemFID,0,NA,0,NA,0,NA
2017,3,8369,2,LPY,9,Weliton,4,55,AdFemFID,0,NA,0,NA,0,NA
2018,3,8282,1,0,13,Weliton,5,262,AdFemFID,0,NA,0,NA,0,NA
2018,3,8258,1,0,17,Weliton,6,30,AdFemFID,0,NA,0,NA,0,NA
2019,3,8351,1,0,13,Carolina,7,173,AdFemFID,0,NA,0,NA,0,NA
2019,3,8314,1,0,2,Carolina,8,1,AdFemFID,0,NA,0,NA,0,NA
2017,311,8288,2,SA,13,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,311,8290,1,0,17,Weliton,2,1,AdFemFID,0,NA,0,NA,0,NA
2018,311,8261,3,LPY,17,Weliton,3,262,AdFemFID,0,NA,0,NA,0,NA
2018,311,8373,1,LPY,12,Weliton,4,28,AdFemFID,0,NA,0,NA,0,NA
