Year,YoungID,MotherID,East,GroupSize,RelFemAlong,FIDJuv,Observer,Sex,AgeatObs,TestNumber,DifferenceDays,DataFile,FIDAdFem
2019,1103,1074,7940,2,Mum,10,Weliton,F,1,2,17,JuvFID,NA
2019,1105,897,7477,2,Mum,5,Weliton,M,1,1,500,JuvFID,NA
2019,1105,897,7443,2,Mum,2,Weliton,M,1,2,7,JuvFID,NA
2019,1107,771,7845,3,Mum,13,Weliton,F,1,1,500,JuvFID,NA
2019,1107,771,8086,1,0,9,Weliton,F,1,2,19,JuvFID,NA
2019,1108,1033,7368,4,Mum,13,Weliton,F,1,1,500,JuvFID,NA
2019,1108,1033,7298,2,Mum,6,Weliton,F,1,2,19,JuvFID,NA
2019,1108,1033,7486,2,Mum,6,Weliton,F,1,3,2,JuvFID,NA
2019,1115,963,7523,3,Mum,5,Weliton,F,1,1,500,JuvFID,NA
2019,1115,963,7542,2,Mum,8,Carolina,F,1,2,1,JuvFID,NA
2019,1119,521,7509,2,Mum,13,Weliton,F,1,1,500,JuvFID,NA
2019,1119,521,7364,2,Mum,5,Carolina,F,1,2,31,JuvFID,NA
2019,1124,492,7482,1,0,10,Weliton,F,1,1,500,JuvFID,NA
2019,1124,492,7360,1,0,2,Weliton,F,1,2,23,JuvFID,NA
2019,1125,510,7725,1,0,10,Weliton,F,1,1,500,JuvFID,NA
2019,1125,510,7999,2,Mum,5,Weliton,F,1,2,20,JuvFID,NA
2019,1127,558,7461,2,Mum,2,Weliton,M,1,1,500,JuvFID,NA
2019,1127,558,7437,2,Mum,13,Weliton,M,1,2,19,JuvFID,NA
2019,1128,970,8249,2,Mum,22,Weliton,M,1,1,500,JuvFID,NA
2019,1128,970,8308,2,0,14,Carolina,M,1,2,6,JuvFID,NA
2019,1130,807,7368,4,Mum,7,Weliton,M,1,1,500,JuvFID,NA
2019,1130,807,7400,2,Mum,3,Weliton,M,1,2,26,JuvFID,NA
2019,1131,827,8029,3,Mum,10,Weliton,M,1,1,500,JuvFID,NA
2019,1131,827,8140,3,Mum,13,Weliton,M,1,2,4,JuvFID,NA
2019,1132,680,7698,3,Mum,6,Weliton,F,1,1,500,JuvFID,NA
2019,1132,680,8051,1,0,5,Weliton,F,1,2,20,JuvFID,NA
2019,1138,824,7581,3,Mum,11,Weliton,F,1,1,500,JuvFID,NA
2019,1138,824,7641,2,Mum,10,Weliton,F,1,2,19,JuvFID,NA
2019,1140,635,7448,1,0,9,Weliton,M,1,1,500,JuvFID,NA
2019,1140,635,7366,2,Mum,6,Weliton,M,1,2,20,JuvFID,NA
2019,1140,635,7517,2,Mum,7,Weliton,M,1,3,9,JuvFID,NA
2019,1143,1142,7883,2,Mum,5,Weliton,F,1,1,500,JuvFID,NA
2019,1143,1142,7804,2,Mum,6,Weliton,F,1,2,20,JuvFID,NA
2019,1144,1027,8382,3,Mum,16,Weliton,M,1,1,500,JuvFID,NA
2019,1144,1027,8219,3,0,14,Carolina,M,1,2,1,JuvFID,NA
2019,1145,917,7974,2,Mum,8,Weliton,F,1,1,500,JuvFID,NA
2019,1145,917,7977,2,Mum,8,Weliton,F,1,2,9,JuvFID,NA
2019,1146,831,7453,4,0,5,Weliton,F,1,1,500,JuvFID,NA
2019,1146,831,7424,1,0,4,Weliton,F,1,2,5,JuvFID,NA
2019,1146,831,7558,2,Mum,1,Carolina,F,1,3,3,JuvFID,NA
2019,1147,519,7504,4,0,9,Weliton,F,1,1,500,JuvFID,NA
2019,1147,519,7515,2,Mum,7,Weliton,F,1,2,20,JuvFID,NA
2019,1148,847,8052,2,Mum,14,Weliton,F,1,1,500,JuvFID,NA
2019,1148,847,8333,2,Mum,9,Weliton,F,1,2,5,JuvFID,NA
2019,1149,276,7782,1,0,17,Weliton,M,1,1,500,JuvFID,NA
2019,1149,276,7701,2,0,9,Weliton,M,1,2,21,JuvFID,NA
2019,1149,276,7632,2,Mum,6,Weliton,M,1,3,3,JuvFID,NA
2019,1152,1151,8378,2,Mum,16,Weliton,F,1,1,500,JuvFID,NA
2019,1153,503,6965,2,Mum,3,Weliton,F,1,1,500,JuvFID,NA
2019,1157,1156,7475,2,0,13,Weliton,M,1,1,500,JuvFID,NA
2019,1157,1156,7534,2,Mum,9,Weliton,M,1,2,16,JuvFID,NA
2019,1160,645,7779,2,Mum,10,Weliton,F,1,1,500,JuvFID,NA
2019,1160,645,8254,2,Mum,10,Weliton,F,1,2,20,JuvFID,NA
2017,847,645,8098,3,0,9,Weliton,F,2,1,500,JuvFID,NA
2017,847,645,8027,2,0,8,Weliton,F,2,2,20,JuvFID,NA
2017,851,191,7931,2,0,4,Weliton,F,2,1,500,JuvFID,NA
2017,851,191,7948,2,0,3,Weliton,F,2,2,99,JuvFID,NA
2017,877,821,7392,2,Mum,3,Weliton,M,1,1,500,JuvFID,NA
2017,877,821,7377,2,0,2,Weliton,M,1,2,13,JuvFID,NA
2017,877,821,7350,2,0,1,Weliton,M,1,3,3,JuvFID,NA
2018,877,821,7463,1,0,4,Weliton,M,2,4,177,JuvFID,NA
2018,877,821,7365,1,0,4,Weliton,M,2,5,2,JuvFID,NA
2017,879,731,8076,2,Mum,3,Weliton,M,1,1,500,JuvFID,NA
2017,879,731,7784,5,Mum,6,Weliton,M,1,2,8,JuvFID,NA
2017,879,731,7881,2,0,9,Weliton,M,1,3,7,JuvFID,NA
2017,879,731,7727,4,0,6,Weliton,M,1,4,1,JuvFID,NA
2017,879,731,7772,2,0,4,Weliton,M,1,5,5,JuvFID,NA
2017,880,807,7328,2,0,2,Weliton,M,1,1,500,JuvFID,NA
2017,881,729,7348,4,0,6,Weliton,M,1,1,500,JuvFID,NA
2017,881,729,7587,2,Mum,3,Weliton,M,1,2,29,JuvFID,NA
2017,881,729,7219,1,0,5,Weliton,M,1,3,83,JuvFID,NA
2018,881,729,7585,1,0,3,Weliton,M,2,4,274,JuvFID,NA
2018,881,729,7367,1,0,4,Weliton,M,2,5,24,JuvFID,NA
2017,883,832,7975,1,0,6,Weliton,M,1,1,500,JuvFID,NA
2017,883,832,8036,3,Mum,2,Weliton,M,1,2,10,JuvFID,NA
2017,883,832,7948,2,Mum,8,Weliton,M,1,3,5,JuvFID,NA
2017,893,892,7352,1,0,0.5,Weliton,F,1,1,500,JuvFID,NA
2017,893,892,7019,1,0,1,Weliton,F,1,2,86,JuvFID,NA
2017,893,892,7259,3,0,1,Weliton,F,1,3,7,JuvFID,NA
2018,893,892,7392,1,0,2,Weliton,F,2,4,91,JuvFID,NA
2018,893,892,7053,2,0,1,Weliton,F,2,5,2,JuvFID,NA
2018,893,892,7597,1,0,2,Weliton,F,2,6,6,JuvFID,NA
2018,893,892,7026,2,0,1,Weliton,F,2,7,165,JuvFID,NA
2018,893,892,7065,1,0,3,Weliton,F,2,8,19,JuvFID,NA
2017,894,302,7205,1,0,10,Weliton,M,1,1,500,JuvFID,NA
2017,894,302,7467,1,0,4,Weliton,M,1,2,5,JuvFID,NA
2017,894,302,7717,1,0,6,Weliton,M,1,3,61,JuvFID,NA
2018,894,302,7606,1,0,7,Weliton,M,2,4,300,JuvFID,NA
2018,894,302,7806,2,0,4,Weliton,M,2,5,46,JuvFID,NA
2017,895,745,7582,2,Mum,5,Weliton,F,1,1,500,JuvFID,NA
2017,895,745,7833,2,Mum,5,Weliton,F,1,2,4,JuvFID,NA
2017,895,745,7908,2,Mum,3,Weliton,F,1,3,2,JuvFID,NA
2018,895,745,7651,1,0,17,Weliton,F,2,4,95,JuvFID,NA
2018,895,745,7638,2,0,6,Weliton,F,2,5,4,JuvFID,NA
2018,895,745,7720,3,0,2,Weliton,F,2,6,166,JuvFID,NA
2018,895,745,7844,1,0,2,Weliton,F,2,7,33,JuvFID,NA
2017,899,771,7817,3,0,4,Weliton,M,1,1,500,JuvFID,NA
2017,899,771,7802,1,0,3,Weliton,M,1,2,64,JuvFID,NA
2018,899,771,7720,1,0,8,Weliton,M,2,3,139,JuvFID,NA
2018,899,771,7733,1,0,1,Weliton,M,2,4,175,JuvFID,NA
2018,899,771,7710,1,0,4,Weliton,M,2,5,16,JuvFID,NA
2017,901,314,7907,3,0,6,Weliton,F,1,1,500,JuvFID,NA
2017,901,314,7703,3,Mum,9,Weliton,F,1,2,1,JuvFID,NA
2017,901,314,7784,3,0,8,Weliton,F,1,3,5,JuvFID,NA
